PhysicalDataID,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,FieldComments,Field1
1640,2343,0.05,1754.7,0.23,1171.4,0.52,585.8,1.8,23.44,,
1641,2589,0.03,1938.7,0.25,1295,0.69,642.7,2.47,37.84,,
1642,2553,0.04,1904.6,0.17,1277,1.09,637.5,2.47,173.1,,
1643,2557,0.05,1908.6,0.16,1275.7,1.03,632.4,2.47,125.4,,
1644,2482,0.04,1835.9,0.23,1254.5,0.96,619.2,2.47,127.12,,
1645,2197,0.02,1599.7,0.27,1107.5,0.71,579.7,2.47,46.48,,
1646,2507,0.03,1885.1,0.23,1267.3,1,624,2.34,114.5,,
1647,1116,0.07,839,0.25,563,0.47,282,1.15,11.21,,
1649,1193.5,0.05,897,0.08,590,0.32,298.4,1.57,11.8,,
1663,1945.4,0.03,1446,0.1,971,0.3,478.9,0.96,19.8,,
1664,2335,0.05,1770,0.17,1167,0.36,586,1.14,23.4,,
1665,2157,0.05,1660.3,0.17,1089.2,0.73,535.1,2.49,30.91,,
1666,2228,0.05,1664,0.09,1115,0.9,557,2.5,129.4,Depth4 submerged fully.,
1667,2097,0.03,1562,0.1,1049.4,0.41,525.2,1.56,21.71,,
1668,2492,0.03,1865,0.05,1248,0.52,620.5,2.5,24.36,,
1669,2526,0.03,1896,0.05,1265.8,0.79,633.3,2.5,102.9,,
1670,2501,0.02,1842,0.04,1253,0.7,628.2,2.5,142,,
1671,2394,0.05,1680.2,0.11,1189.1,0.93,606.4,2.5,177.33,,
1686,2209,0.04,1652,0.14,1106,0.31,553,1.1,22.27,,
1687,2267,0.02,1689,0.19,1133.2,0.48,563.2,1.78,22.99,,
1688,2723,0.02,2041,0.06,1366,0.59,679.9,2.19,59.22,,
1689,2632,0.02,1968,0.08,1319,0.82,656.2,2.19,154.64,,
1690,2664,0.04,1985.5,0.06,1331.3,0.92,667.4,2.19,137.75,,
1691,2593,0.02,1951,0.07,1272,0.39,690,2.19,252.3,,
1692,2415,0.05,1793.2,0.07,1203.5,0.92,607,2.19,206,,
1693,2097,0.06,1579.6,0.27,1047.2,0.98,538.3,2.19,125.84,lots of leaves/debris in sample,
1694,2012,0.05,1501,0.17,1002,0.4,506,1.53,20.2,,
1695,2223,0.07,1662,0.24,1110,0.53,556,1.66,22.19,,
1696,2372,0.06,1764,0.19,1185,0.42,592.9,1.36,24.71,,
1699,2279,0.03,1704,0.18,1132,0.4,567,1.35,22.7,,
1701,2173,0.06,1642,0.3,1092,0.45,542,1.43,21.1,,
1703,1735.1,0.05,1303,0.2,871,0.4,432.4,1.17,17.25,,
1704,2615,0.09,1963,0.23,1303,0.52,656,1.92,28.9,Reading 4 was full length of the pole,
1705,1593.9,0.06,1093.4,0.19,795.5,0.42,695.8,1.54,16.51,,
1706,2265,0.02,1635.6,0.16,1127,0.3,562.7,2.29,28.05,,
1707,1514,0.09,1110.7,0.11,761.5,0.78,378.1,2.55,108.7,,
1708,1756.8,0.04,1310.1,0.05,850.7,0.43,439.1,2.55,91.71,,
1709,1419.9,0.03,1068.4,0.08,709.4,0.65,350.8,2.55,95.99,,
1710,1579,0.06,1139.9,0.12,796.8,0.57,382,2.55,6.29,,
1711,1926,0.08,1444,0.27,967,0.52,481.8,1.67,19.25,,
1713,1980,0.06,1492,0.2,989,0.4,496,1.48,19.6,,
1715,1953.2,0.06,1460,0.1,969,0.28,488.2,1.53,19.38,,
1716,2076,0.03,1550,0.09,1027,0.31,516,1.47,22.8,,
1717,2207,0.03,1627,0.25,1100,0.48,557,1.4,22.3,,
1718,2500,0.04,1833,0.13,1236,0.98,657,1.9,308,,
1719,2477,0.04,1852,0.15,1246,0.93,620,1.9,378,,
1720,2329,0.03,1727,0.2,1137,1,583,1.9,239,,
1721,2359,0.05,1775,0.24,1173,0.86,589,1.9,139,,
1723,116.6,0.05,87.3,0.12,58.2,0.35,29.16,1.49,1.15,,
1725,2357,0.05,1706.9,0.26,1170.1,0.96,583.3,2.5,103.75,,
1726,2237,0.09,1734,0.21,1192,0.44,558,1.35,22.05,,
1727,2329,0.02,1744.4,0.21,1152.1,0.44,580.4,1.6,21.97,,
1728,2374,0.07,1758.9,0.3,1160.5,0.95,587.1,2.5,103.98,,
1729,2398,0.05,1726.1,0.15,1160.5,0.94,619.5,2.5,135.82,,
1730,2372,0.07,1675,0.26,1127,0.99,583,2.5,94.51,,
1731,2279,0.03,1746,0.41,1058,1.18,569,2.5,155.89,,
1732,2318,0.04,1797,0.17,1121,0.52,560,2.5,211.6,,
1734,2027,0.06,1523.5,0.23,1004,0.45,506.2,1.56,20.27,,
1736,2358,0.07,1764,0.24,1177,0.44,589.4,1.55,23.5,,
1737,2234,0.06,1677,0.24,1115,0.5,556,1.36,22.5,,
1738,2317,0.06,1722.4,0.16,1152.1,0.46,579.7,1.59,22.99,,
1739,2430,0.05,1864,0.16,1212.2,0.82,604.1,2.37,111.8,,
1740,2457,0.04,1897.2,0.14,1226.3,0.8,627.6,2.37,188.44,,
1741,2374,0.03,1784,0.25,1197,1.02,574.6,2.37,209.2,,
1742,2344,0.08,1634,0.4,1056.5,1.22,596.1,2.37,188.64,,
1743,2352,0.08,1698,0.37,1190.4,0.64,572.2,2.37,27.94,,
1744,2490,0.04,1865,0.19,1246,1.21,637,1.9,420,,
1745,2432,0.05,1821,0.1,1214,0.82,608,1.9,177,,
1746,1861,0.04,1394,0.07,931,0.25,465,1.18,18.5,,
1748,2113,0.04,1577,0.12,1045,0.33,525,1.1,21.2,,
1750,,,,,,,,,,"No light taken, gate closed and no key",
1751,2334,0.06,1752,0.21,1168,0.47,585,1.62,23.33,,
1753,2010,0.05,1576,0.16,1004,0.33,502.3,1.19,20.19,,
1755,2229,0.06,1676,0.18,1113,0.37,556,1.35,22.28,,
