"Station","Latitude","Longitude","Datetime","Notes","SampleCode","Chlorophyll","Pheophytin","DissAmmonia_Sign","DissAmmonia","DissCalcium","DissChloride","DissNitrateNitrite_Sign","DissNitrateNitrite","DOC","TOC","DON","DissOrthophos_Sign","DissOrthophos","TotPhos","DissSilica","TDS","TSS","VSS","TKN","Year","WY","Month","Flag_ChlaNuts"
"LIS",38.474816,-121.588584,2013-04-15 11:45:00,NA,"ESH0413B0081",15.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"4","1"
"LIS",38.474816,-121.588584,2013-04-15 11:45:00,NA,"ESH0413B0081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"4",NA
"LIS",38.474816,-121.588584,2013-04-15 11:45:00,NA,"ESH0413B0081",NA,5.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"4",NA
"LIS",38.474816,-121.588584,2013-04-29 11:55:00,NA,"ESH0413B0093",28.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"4","1"
"LIS",38.474816,-121.588584,2013-04-29 11:55:00,NA,"ESH0413B0093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"4",NA
"LIS",38.474816,-121.588584,2013-04-29 11:55:00,NA,"ESH0413B0093",NA,12.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"4","1"
"LIS",38.474816,-121.588584,2013-05-14 11:31:00,NA,"ESH0513B0099",35.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"5","1"
"LIS",38.474816,-121.588584,2013-05-14 11:31:00,NA,"ESH0513B0099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"5",NA
"LIS",38.474816,-121.588584,2013-05-14 11:31:00,NA,"ESH0513B0099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"5",NA
"LIS",38.474816,-121.588584,2013-05-14 11:31:00,NA,"ESH0513B0099",NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"5","1"
